Source,Target,Value,Units,Table ID
Still Gas and Petroleum Coke,Petrochemical Industry,0.0,Petajoules,id_ca_e_37
LPG and Gas Plant NGL,Petrochemical Industry,,Petajoules,id_ca_e_37
Coal,Petrochemical Industry,0.0,Petajoules,id_ca_e_37
Coke and Coke Oven Gas,Petrochemical Industry,0.0,Petajoules,id_ca_e_37
Wood Waste and Pulping Liquor,Petrochemical Industry,0.0,Petajoules,id_ca_e_37
Other1,Petrochemical Industry,,Petajoules,id_ca_e_37
Electricity,Industrial Gas Industry,,Petajoules,id_ca_e_38
Natural Gas,Industrial Gas Industry,,Petajoules,id_ca_e_38
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Industrial Gas Industry,,Petajoules,id_ca_e_38
Heavy Fuel Oil,Industrial Gas Industry,,Petajoules,id_ca_e_38
Still Gas and Petroleum Coke,Industrial Gas Industry,0.0,Petajoules,id_ca_e_38
LPG and Gas Plant NGL,Industrial Gas Industry,0.0,Petajoules,id_ca_e_38
Coal,Industrial Gas Industry,0.0,Petajoules,id_ca_e_38
Coke and Coke Oven Gas,Industrial Gas Industry,0.0,Petajoules,id_ca_e_38
Wood Waste and Pulping Liquor,Industrial Gas Industry,0.0,Petajoules,id_ca_e_38
Other1,Industrial Gas Industry,0.0,Petajoules,id_ca_e_38
Electricity,Alkali and Chlorine Manufacturing,,Petajoules,id_ca_e_39
Natural Gas,Alkali and Chlorine Manufacturing,,Petajoules,id_ca_e_39
"Diesel Fuel Oil, Light Fuel Oil and Kerosene",Alkali and Chlorine Manufacturing,,Petajoules,id_ca_e_39
Heavy Fuel Oil,Alkali and Chlorine Manufacturing,,Petajoules,id_ca_e_39
Still Gas and Petroleum Coke,Alkali and Chlorine Manufacturing,0.0,Petajoules,id_ca_e_39
LPG and Gas Plant NGL,Alkali and Chlorine Manufacturing,,Petajoules,id_ca_e_39
Coal,Alkali and Chlorine Manufacturing,0.0,Petajoules,id_ca_e_39
Coke and Coke Oven Gas,Alkali and Chlorine Manufacturing,0.0,Petajoules,id_ca_e_39
Wood Waste and Pulping Liquor,Alkali and Chlorine Manufacturing,0.0,Petajoules,id_ca_e_39
Other1,Alkali and Chlorine Manufacturing,0.0,Petajoules,id_ca_e_39
